#ABBREVIATION,LONG NAME,COUNTS AS FOR FL STATIONS,DX Entity Number,Counts As Mult for FL,Counts As Mult for Other,Type
"FO/C","CLIPPERTON ISLAND","FO/C",36,true,false,DX
"FO/M","MARQUESAS ISLANDS","FO/M",509,true,false,DX
"FP","ST. PIERRE & MIQUELON","FP",277,true,false,DX
"FR","REUNION ISLAND","FR",453,true,false,DX
"FS","ST. MARTIN","FS",213,true,false,DX
"FT/G","GLORIOSO ISLANDS","FT/G",99,true,false,DX
"FT/J","JUAN DE NOVA & EUROPA","FT/J",124,true,false,DX
"FT/T","TROMELIN ISLAND","FT/T",276,true,false,DX
"FT/W","CROZET ISLAND","FT/W",41,true,false,DX
"FT/X","KERGUELEN ISLANDS","FT/X",131,true,false,DX
"FT/Z","AMSTERDAM & ST. PAUL IS.","FT/Z",10,true,false,DX
"FW","WALLIS & FUTUNA ISLANDS","FW",298,true,false,DX
"FY","FRENCH GUIANA","FY",63,true,false,DX
"G","ENGLAND","G",223,true,false,DX
"GD","ISLE OF MAN","GD",114,true,false,DX
"GI","NORTHERN IRELAND","GI",265,true,false,DX
"GJ","JERSEY","GJ",122,true,false,DX
"GM","SCOTLAND","GM",279,true,false,DX
"*GM/S","SHETLAND ISLANDS","*GM/S",279,true,false,DX
"GU","GUERNSEY","GU",106,true,false,DX
"GW","WALES","GW",294,true,false,DX
"H4","SOLOMON ISLANDS","H4",185,true,false,DX
"H40","TEMOTU PROVINCE","H40",507,true,false,DX
"HA","HUNGARY","HA",239,true,false,DX
"HB","SWITZERLAND","HB",287,true,false,DX
"HB0","LIECHTENSTEIN","HB0",251,true,false,DX
"HC","ECUADOR","HC",120,true,false,DX
"HC8","GALAPAGOS ISLANDS","HC8",71,true,false,DX
"HH","HAITI","HH",78,true,false,DX
"HI1","DOMINICAN REPUBLIC","HI1",72,true,false,DX
"HK","COLOMBIA","HK",116,true,false,DX
"HK0/A","SAN ANDRES & PROVIDENCIA","HK0/A",216,true,false,DX
"HK0/M","MALPELO ISLAND","HK0/M",161,true,false,DX
"HL","REPUBLIC OF KOREA","HL",137,true,false,DX
"HP","PANAMA","HP",88,true,false,DX
"HR","HONDURAS","HR",80,true,false,DX
"HS","THAILAND","HS",387,true,false,DX
"HV","VATICAN CITY","HV",295,true,false,DX
"HZ","SAUDI ARABIA","HZ",378,true,false,DX
"I","ITALY","I",248,true,false,DX
"*IG9","AFRICAN ITALY","*IG9",248,true,false,DX
"IS","SARDINIA","IS",225,true,false,DX
"*IT9","SICILY","*IT9",248,true,false,DX
"J2","DJIBOUTI","J2",382,true,false,DX
"J3","GRENADA","J3",77,true,false,DX
"J5","GUINEA-BISSAU","J5",109,true,false,DX
"J6","ST. LUCIA","J6",97,true,false,DX
"J7","DOMINICA","J7",95,true,false,DX
"J8","ST. VINCENT","J8",98,true,false,DX
"JA","JAPAN","JA",339,true,false,DX
"JD/M","MINAMI TORISHIMA","JD/M",177,true,false,DX
"JD/O","OGASAWARA","JD/O",192,true,false,DX
"JT","MONGOLIA","JT",363,true,false,DX
"JW","SVALBARD","JW",259,true,false,DX
"*JW/B","BEAR ISLAND","*JW/B",259,true,false,DX
"JX","JAN MAYEN","JX",118,true,false,DX
"JY","JORDAN","JY",342,true,false,DX
"KG4","GUANTANAMO BAY","KG4",105,true,false,DX
"KH0","MARIANA ISLANDS","KH0",166,true,false,DX
"KH1","BAKER & HOWLAND ISLANDS","KH1",20,true,false,DX
"KH2","GUAM","KH2",103,true,false,DX
"KH3","JOHNSTON ISLAND","KH3",123,true,false,DX
"KH4","MIDWAY ISLAND","KH4",174,true,false,DX
"KH5","PALMYRA & JARVIS ISLANDS","KH5",197,true,false,DX
"KH7K","KURE ISLAND","KH7K",138,true,false,DX
"KH8","AMERICAN SAMOA","KH8",9,true,false,DX
"KH8/S","SWAINS ISLAND","KH8/S",515,true,false,DX
"KH9","WAKE ISLAND","KH9",297,true,false,DX
"KP1","NAVASSA ISLAND","KP1",182,true,false,DX
"KP2","US VIRGIN ISLANDS","KP2",285,true,false,DX
"KP4","PUERTO RICO","KP4",202,true,false,DX
"KP5","DESECHEO ISLAND","KP5",43,true,false,DX
"LA1","NORWAY","LA1",266,true,false,DX
"LU","ARGENTINA","LU",100,true,false,DX
"LX","LUXEMBOURG","LX",254,true,false,DX
"LY","LITHUANIA","LY",146,true,false,DX
"LZ","BULGARIA","LZ",212,true,false,DX
"OA","PERU","OA",136,true,false,DX
"OD","LEBANON","OD",354,true,false,DX
"OE","AUSTRIA","OE",206,true,false,DX
"OH2","FINLAND","OH2",224,true,false,DX
"OH0","ALAND ISLANDS","OH0",5,true,false,DX
"OJ0","MARKET REEF","OJ0",167,true,false,DX
"OK1","CZECH REPUBLIC","OK1",503,true,false,DX
"OM","SLOVAK REPUBLIC","OM",504,true,false,DX
"ON1","BELGIUM","ON1",209,true,false,DX
"OX","GREENLAND","OX",237,true,false,DX
"OY","FAROE ISLANDS","OY",222,true,false,DX
"OZ","DENMARK","OZ",221,true,false,DX
"P2","PAPUA NEW GUINEA","P2",163,true,false,DX
"P4","ARUBA","P4",91,true,false,DX
"P5","DPR OF KOREA","P5",344,true,false,DX
"PA1","NETHERLANDS","PA1",263,true,false,DX
"PJ2","CURACAO","PJ2",517,true,false,DX
"PJ4","BONAIRE","PJ4",520,true,false,DX
"PJ5","SABA & ST. EUSTATIUS","PJ5",519,true,false,DX
"PJ7","SINT MAARTEN","PJ7",518,true,false,DX
"PY","BRAZIL","PY",108,true,false,DX
"PY0F","FERNANDO DE NORONHA","PY0F",56,true,false,DX
"PY0S","ST. PETER & ST. PAUL","PY0S",253,true,false,DX
"PY0T","TRINDADE & MARTIM VAZ","PY0T",273,true,false,DX
"PZ","SURINAME","PZ",140,true,false,DX
"R1FJ","FRANZ JOSEF LAND","R1FJ",61,true,false,DX
"S0","WESTERN SAHARA","S0",302,true,false,DX
"S2","BANGLADESH","S2",305,true,false,DX
"S5","SLOVENIA","S5",499,true,false,DX
"S7","SEYCHELLES","S7",379,true,false,DX
"S9","SAO TOME & PRINCIPE","S9",219,true,false,DX
"SM","SWEDEN","SM",284,true,false,DX
"SP","POLAND","SP",269,true,false,DX
"ST","SUDAN","ST",466,true,false,DX
"SU","EGYPT","SU",478,true,false,DX
"SV","GREECE","SV",236,true,false,DX
"SV/A","MOUNT ATHOS","SV/A",180,true,false,DX
"SV5","DODECANESE","SV5",45,true,false,DX
"SV9","CRETE","SV9",40,true,false,DX
"T2","TUVALU","T2",282,true,false,DX
"T30","WESTERN KIRIBATI","T30",301,true,false,DX
